blocker_id,blocker,affected_outputs,severity,bias_if_ignored,free_solution,residual_impact,can_continue_without
BL01,No historical survivor-free universe,"Components, selector, alpha",CRITICAL,Survivorship bias and inflated winner recall,Nasdaq snapshots now; reconstruct delists via filings/Form 25/corporate actions; start daily archive,Historical alpha remains upper-bound until reconstruction coverage is quantified,"YES, with restricted eras/universe and explicit ceiling"
BL02,No strict historical analyst-estimate PIT panel,Revision/expectation components,HIGH,Look-ahead and revised-consensus contamination,Use filing/guidance-based expectation-free features; start prospective consensus snapshots,Cannot claim analyst-surprise alpha historically,YES
BL03,Corporate-action and ticker lineage incomplete,"Labels, returns, universe",CRITICAL,"Return errors, duplicated entities and false delists","SEC filing metadata, Nasdaq lists, issuer actions and self-archived master",Affected rows must be quarantined rather than imputed,"YES, after quarantine rules"
BL04,Stock-level historical options/dealer data unavailable free,Options component only,MEDIUM,False gamma/dealer claims,Exclude stock-level gamma; use aggregate options regime only,Core fundamental/ownership selector remains testable,YES
BL05,IHSG broker-by-broker history unavailable cleanly,Broker persistence component,HIGH for broker edge; MEDIUM overall,Fake accumulation/manipulation classification,KSEI local/foreign ownership + foreign flow + turnover-impact proxy,Broker edge excluded; IHSG selector can still be proven without it,YES
BL06,Venue/protocol mapping changes in crypto,Components and selector,HIGH,Dead-token survivorship and false token capture,"Contract-address identity graph, lifecycle ledger and daily self-archive",Early history may have lower coverage and must be era-scoped,YES
BL07,Global physical commodity data fragmented,Physical balance and bottleneck,HIGH,US proxy generalized globally,EIA + CFTC + PortWatch + country/agriculture/grid datasets,Claims limited by commodity/geography coverage,"YES, per commodity"
BL08,No exchange-grade intraday fills,Executable event alpha,CRITICAL only for intraday execution,Impossible entry and understated slippage,Test daily/weekly alpha first; start future public venue capture where available,Gross daily selector proof still valid; intraday PAPER remains blocked,YES for daily/weekly
BL09,LLM/researcher historical contamination,Claim that historical OOS is confirmatory,CRITICAL,Meta-overfitting and incomplete trial accounting,"Fixed discovery budget, anonymized one-shot lockbox, prospective stream",Historical positive results remain candidate-level until prospective pass,YES for discovery; NO for final proven claim
BL10,Future prospective observations do not yet exist,Final proven component/selector/alpha,CRITICAL,Historical memory mistaken for deployment edge,Start immutable prospective registry immediately,Time is unavoidable; historical proof can only promote to shadow,NO for final proven claim
BL11,Entity mapping across sources,All cross-source components,CRITICAL,Wrong-company joins and artificial signals,CIK/ticker/exchange/LEI/contract-address graph with effective dates,Unmatched observations stay missing,NO for affected joins
BL12,Component and target search budget too large,Predictive component and selector,CRITICAL,False discovery,"One market at a time, pre-registered component families, graveyard and multiplicity control",Only registered tests may promote,NO
