source_id,market,source,data_objects,free,historical_use,pit_grade,access,main_limit,impact_if_missing,source_url
SRC01,US Stocks,SEC EDGAR APIs,"Submissions, filing metadata, company facts/XBRL",YES,Strong as-filed timestamps,HIGH for filed information,Public REST/archives,Taxonomy inconsistency and amended filings,Fundamental acceleration and filing-time signals cannot be tested,https://www.sec.gov/search-filings/edgar-application-programming-interfaces
SRC02,US Stocks,SEC Financial Statement Data Sets,Quarterly structured financial statements,YES,Quarterly bulk history,MEDIUM-HIGH with filed date controls,Public quarterly ZIP,Restatements/amendments require accession-level lineage,Slower and less complete cross-sectional panel,https://www.sec.gov/data-research/sec-markets-data
SRC03,US Stocks,SEC Form 13F Data Sets,Institutional holdings,YES,Quarterly structured filings,HIGH at filing availability; holdings are delayed,Public bulk datasets,"Quarter-end holdings, filing delay and incomplete manager universe",Institutional ownership components unavailable,https://www.sec.gov/data-research/sec-markets-data/form-13f-data-sets
SRC04,US Stocks,SEC Form N-PORT Data Sets,Registered fund portfolio holdings,YES,Monthly/quarterly fund holdings,HIGH at public filing availability,Public bulk datasets,Reporting lags and mapping complexity,Fund crowding and ownership breadth weaker,https://www.sec.gov/data-research/sec-markets-data/form-n-port-data-sets
SRC05,US Stocks,SEC Insider Transactions,Forms 3/4/5,YES,As-filed transactions,HIGH at filing time,EDGAR and SEC data library,Transaction-code interpretation and planned sales,Insider-conviction component unavailable,https://www.sec.gov/about/divisions-offices/division-economic-risk-analysis/dera-data-library
SRC06,US Stocks,FINRA Short Sale Volume,Aggregated daily short-sale volume by security,YES,Daily/monthly files,HIGH for published aggregate,Public files/query API,Not equivalent to short interest or bearish conviction,Short-pressure proxy removed; selector still feasible,https://www.finra.org/finra-data/browse-catalog/short-sale-volume-data/daily-short-sale-volume-files
SRC07,US Stocks,FINRA Equity Short Interest,Reported short interest,YES,Periodic observations,HIGH at publication,Public FINRA data,Reporting delay,Crowding/short-squeeze control weaker,https://www.finra.org/finra-data/browse-catalog/equity-short-interest/data
SRC08,US Stocks,Nasdaq Trader Symbol Directory,Current listed securities and classifications,YES,Current snapshot; archive must be built,"HIGH current, LOW historical",Public text files,Does not reconstruct full historical membership by itself,Current universe cannot be built cleanly,https://www.nasdaqtrader.com/trader.aspx?id=symboldirdefs
SRC09,Macro/FX,FRED / ALFRED,Economic series and vintage observations,YES,Long histories and vintages,HIGH when ALFRED vintage is used,Free API key,Not every source series has full vintage history,Macro/FX PIT priors substantially weaker,https://fred.stlouisfed.org/docs/api/fred/
SRC10,Macro/FX,BIS SDMX API,"Credit, banking, FX and cross-border statistics",YES,Long official histories,MEDIUM unless vintages are separately archived,Public SDMX API,Release vintages may require self-archiving,External funding and cross-border credit components weaker,https://stats.bis.org/api-doc/v2/
SRC11,IHSG,KSEI Holding Composition,Local-foreign securities holding composition,YES,Monthly archive,HIGH for published snapshots,Public downloads,Not broker-by-broker trade flow,Free IHSG ownership proxy removed,https://web.ksei.co.id/archive_download/holding_composition?setLocale=en-US
SRC12,Crypto,Binance Data Vision,"Spot/futures klines, trades and market data files",YES,Daily/monthly archives,HIGH for venue data; venue-specific,Public files,One venue cannot represent total market,Free leverage/price microstructure proof weaker,https://data.binance.vision/
SRC13,Crypto,DefiLlama,"TVL, fees, revenue, stablecoins, volumes and yields",YES/PUBLIC LAYER,Protocol and chain time series,MEDIUM; methodology/version lineage must be stored,Public site/API layer,Protocol mapping and methodology changes,Protocol activity/value-capture components much weaker,https://defillama.com/
SRC14,Commodities,EIA Open Data,"Energy production, inventories, flows and electricity",YES,Official time series and bulk files,MEDIUM-HIGH; revisions require release archive,Free API key or bulk download,US-centric for many series,Energy physical-balance proof severely reduced,https://www.eia.gov/opendata/
SRC15,Commodities/FX,CFTC Commitments of Traders,Futures positioning,YES,Historical files from 1986 for futures-only,"HIGH at release, weekly lag",Public compressed/viewable files,Aggregated categories and Tuesday-to-Friday lag,Crowding component unavailable,https://www.cftc.gov/MarketReports/CommitmentsofTraders/HistoricalCompressed/index.htm
SRC16,Supply Chain/Commodities,IMF PortWatch,"Port, vessel and chokepoint activity",YES,Download/API datasets,MEDIUM; methodology and revisions must be archived,Public downloads/ArcGIS API,AIS/model coverage and methodology changes,Physical shipping confirmation weaker,https://portwatch.imf.org/pages/data-and-methodology
SRC17,Supply Chain,GDELT,Global events and news graph,YES,Long event/news histories,MEDIUM; news availability and duplicates require controls,Open data/download/analysis,Media intensity is not physical impact,Event discovery slower but causal proof still possible,https://www.gdeltproject.org/data.html
SRC18,US/Alpha/Supply Chain,USAspending API,"Federal awards, contracts, grants and loans",YES,Comprehensive award history,MEDIUM-HIGH with action-date and update controls,Public API,Entity mapping and modifications,Government-demand and defense/industrial components weaker,https://api.usaspending.gov/
SRC19,US/Alpha/Supply Chain,SAM.gov Opportunities,"Solicitations, notices and procurement opportunities",YES,Opportunity/event histories,HIGH at notice availability when archived,Public search/API with account/key for some functions,Opportunities are not awards or issuer revenue,Early government-demand signal weaker,https://sam.gov/opportunities
